Close,High,Low,Open,Volume
179.6300048828125,180.27000427246094,163.36000061035156,167.1999969482422,2673710000
181.17999267578125,183.9499969482422,177.75,179.6300048828125,2194620000
180.66000366210938,183.88999938964844,176.52999877929688,181.17999267578125,2153090000
179.8300018310547,183.61000061035156,177.86000061035156,180.66000366210938,1981880000
189.5500030517578,189.97999572753906,178.35000610351562,179.8300018310547,2350340000
191.85000610351562,191.85000610351562,185.02999877929688,189.5500030517578,2117000000
190.9199981689453,196.07000732421875,189.3000030517578,191.85000610351562,2463070000
188.6300048828125,192.1699981689453,186.10000610351562,190.9199981689453,1923200000
182.0800018310547,188.8000030517578,179.4499969482422,188.6300048828125,1860160000
189.82000732421875,190.14999389648438,181.16000366210938,182.05999755859375,2543240000
202.1699981689453,203.39999389648438,189.3699951171875,189.82000732421875,2445370000
211.27999877929688,213.0800018310547,200.10000610351562,202.1699981689453,2804380000
211.77999877929688,214.57000732421875,202.60000610351562,211.27999877929688,2879010000
226.9199981689453,227.9199981689453,210.82000732421875,211.77999877929688,2899100000
238.89999389648438,240.11000061035156,222.17999267578125,226.9199981689453,3214600000
235.52000427246094,245.47000122070312,226.3000030517578,238.89999389648438,3240400000
247.35000610351562,249.19000244140625,232.25999450683594,235.52000427246094,2680240000
250.83999633789062,251.80999755859375,238.22999572753906,246.0399932861328,2649600000
236.1199951171875,253.1999969482422,233.07000732421875,250.6699981689453,3029900000
252.92999267578125,254.24000549316406,231.9199981689453,236.1199951171875,2701900000
231.32000732421875,254.1300048828125,228.0800018310547,252.92999267578125,3166300000
243.97999572753906,244.50999450683594,231.32000732421875,231.32000732421875,3016740000
249.22000122070312,249.22000122070312,235.50999450683594,243.97000122070312,2940830000
242.1699981689453,254.8699951171875,241.27999877929688,249.22000122070312,3260870000
274.0799865722656,280.9599914550781,242.1699981689453,242.1699981689453,4040880000
284.20001220703125,287.54998779296875,273.1600036621094,274.0799865722656,3485300000
291.70001220703125,302.7200012207031,282.29998779296875,284.1700134277344,3965100000
288.3599853515625,303.6499938964844,275.6700134277344,291.5899963378906,3931700000
290.1000061035156,298.69000244140625,277.010009765625,286.989990234375,3417700000
304.0,310.2699890136719,286.92999267578125,290.1199951171875,3595000000
318.6600036621094,318.8500061035156,302.5299987792969,303.989990234375,3966400000
329.79998779296875,337.8900146484375,314.510009765625,318.6199951171875,4062400000
321.8299865722656,332.17999267578125,308.55999755859375,329.80999755859375,3723200000
251.7899932861328,328.94000244140625,216.4600067138672,321.8299865722656,6094500000
230.3000030517578,257.2099914550781,225.75,251.72999572753906,3589530000
247.0800018310547,253.35000610351562,221.24000549316406,230.32000732421875,3926750000
257.07000732421875,261.7799987792969,240.1699981689453,247.10000610351562,3494700000
267.82000732421875,267.82000732421875,247.82000732421875,257.04998779296875,3693240000
258.8900146484375,272.6400146484375,256.07000732421875,267.82000732421875,4052970000
261.3299865722656,272.04998779296875,254.7100067138672,258.8900146484375,3260760000
262.1600036621094,263.70001220703125,248.85000610351562,261.3599853515625,3231370000
273.5,276.8800048828125,262.1000061035156,262.1600036621094,4306710000
272.0199890136719,276.3599853515625,262.4800109863281,273.5,3338470000
261.5199890136719,274.20001220703125,256.5299987792969,272.0299987792969,3327470000
271.9100036621094,274.8699951171875,256.9800109863281,261.5199890136719,3059450000
278.9700012207031,283.95001220703125,268.8399963378906,271.8900146484375,3415160000
273.70001220703125,280.3699951171875,262.8500061035156,278.9700012207031,2822820000
277.7200012207031,280.45001220703125,270.4700012207031,273.67999267578125,2844900000
297.4700012207031,297.510009765625,273.80999755859375,277.7200012207031,3532220000
288.8599853515625,300.57000732421875,286.260009765625,297.4700012207031,3216280000
294.8699951171875,299.989990234375,286.4599914550781,288.8599853515625,3504530000
309.6400146484375,310.45001220703125,294.3500061035156,294.8699951171875,3237250000
320.5199890136719,323.05999755859375,304.05999755859375,309.6400146484375,3747320000
317.9800109863281,329.19000244140625,314.3800048828125,320.510009765625,3966590000
346.0799865722656,346.0799865722656,317.260009765625,317.9800109863281,3249030000
351.45001220703125,352.7300109863281,339.0,346.0799865722656,3949100000
349.1499938964844,354.1300048828125,341.3699951171875,351.45001220703125,3035020000
340.3599853515625,360.44000244140625,327.1199951171875,349.1499938964844,4012670000
345.989990234375,346.5,330.9100036621094,340.3599853515625,3032160000
353.3999938964844,354.1000061035156,339.6300048828125,346.010009765625,3213420000
329.0799865722656,360.5899963378906,319.8299865722656,353.3999938964844,3793250000
331.8900146484375,336.0899963378906,322.1000061035156,329.0799865722656,2961970000
339.94000244140625,344.489990234375,331.0799865722656,331.8900146484375,3283280000
330.79998779296875,347.29998779296875,327.760009765625,339.94000244140625,2801220000
361.2300109863281,362.260009765625,330.79998779296875,330.79998779296875,3596680000
358.0199890136719,368.7799987792969,351.2300109863281,361.260009765625,3226280000
356.1499938964844,369.7799987792969,350.0899963378906,358.0199890136719,3373540000
322.55999755859375,357.3500061035156,306.17999267578125,356.1499938964844,4020730000
306.04998779296875,326.5299987792969,295.9800109863281,322.55999755859375,2687280000
304.0,319.69000244140625,294.510009765625,306.1000061035156,3671900000
322.2200012207031,323.0199890136719,301.6099853515625,303.989990234375,3149770000
330.2200012207031,333.9800109863281,321.9700012207031,322.2300109863281,3116830000
343.92999267578125,343.92999267578125,309.3500061035156,330.20001220703125,3660240000
367.07000732421875,370.9599914550781,340.3699951171875,343.9100036621094,4303170000
375.2200012207031,379.6600036621094,363.7300109863281,367.07000732421875,3927920000
375.3399963378906,391.260009765625,370.2699890136719,375.2200012207031,4017200000
